"filename", "language", "Markdown", "XML", "Lua", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\game_lookup_table_templates.lua", "Lua", 0, 0, 12, 1, 3, 16
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\lookup_tables_template_DEPRICATED.lua", "Lua", 0, 0, 125, 4, 13, 142
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\renderer_templates.lua", "Lua", 0, 0, 57, 0, 12, 69
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\report_templates.lua", "Lua", 0, 0, 227, 2, 3, 232
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\save_data_template.lua", "Lua", 0, 0, 5, 1, 1, 7
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\scenegraph_templates_DEPRICATED.lua", "Lua", 0, 0, 171, 0, 1, 172
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\view_templates.lua", "Lua", 0, 0, 30, 6, 1, 37
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\templates\widgets\custom_multi_line_text_input.lua", "Lua", 0, 0, 510, 5, 79, 594
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_base_view_DEPRICATED.lua", "Lua", 0, 0, 206, 0, 36, 242
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_main_view.lua", "Lua", 0, 0, 36, 0, 4, 40
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\pdi_main_view_DEPRICATED.lua", "Lua", 0, 0, 564, 2, 38, 604
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements_DEPRICATED\pdi_base_view_element_DEPRICATED.lua", "Lua", 0, 0, 206, 0, 41, 247
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements_DEPRICATED\pdi_edit_view_element_DEPRICATED.lua", "Lua", 0, 0, 2421, 26, 149, 2596
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements_DEPRICATED\pdi_main_view_element_DEPRICATED.lua", "Lua", 0, 0, 648, 6, 39, 693
"c:\Program Files (x86)\Steam\steamapps\common\Warhammer 40,000 DARKTIDE\mods\Power_DI\scripts\mods\Power_DI\views\view_elements_DEPRICATED\pdi_pivot_table_view_element_DEPRICATED.lua", "Lua", 0, 0, 1275, 25, 68, 1368
"Total", "-", 109, 11, 19407, 536, 1727, 21790
